Temperature,Precipitation,Humidity
33.54,12.87,40.48
30.74,11.47,38.02
-2.69,29.24,19.59
13.11,28.92,24.2
25.44,1.88,70.07
28.13,12.94,62.05
36.25,5.61,68.15
29.57,38.64,87.19
7.05,31.87,51.45
37.68,36.86,53.22
10.18,17.74,90.26
19.69,11.6,43.63
13.5,42.66,67.41
8.91,40.89,25.33
33.75,25.91,87.34
10.99,10.33,61.99
23.89,16.12,69.52
28.65,10.52,26.89
3.81,28.84,53.98
27.21,48.91,41.24
19.31,48.0,0.37
5.45,30.73,69.37
5.85,32.72,27.7
19.32,7.72,48.26
29.93,14.96,49.57
-7.35,0.63,35.66
33.63,0.41,4.03
36.87,21.25,21.32
17.37,11.47,16.68
7.27,49.52,99.63
-9.97,26.94,6.8
-1.5,1.55,37.33
28.27,16.11,86.88
18.28,21.88,45.03
21.34,47.65,63.36
12.79,6.79,93.25
9.09,43.92,33.65
27.92,25.99,30.54
7.87,11.0,43.47
6.15,41.37,17.98
10.32,19.31,61.88
7.74,11.72,71.73
0.53,6.65,62.44
38.46,20.96,6.11
37.76,4.17,2.16
14.56,2.72,56.33
31.12,9.75,88.42
28.03,38.85,90.53
32.25,11.46,23.83
18.72,0.24,75.77
23.08,49.57,92.4
-2.34,7.26,26.65
-2.2,23.98,48.44
-9.04,15.27,21.48
26.8,6.11,54.51
34.16,26.35,90.33
9.07,16.82,85.89
5.6,47.8,95.54
26.86,7.02,90.73
-2.51,33.79,3.38
39.14,33.88,29.76
34.17,13.44,56.29
-1.16,17.96,66.32
-1.1,32.77,8.35
18.05,36.16,92.79
33.82,4.26,93.78
9.15,16.52,32.36
39.27,35.49,27.46
-0.32,35.16,46.46
24.52,18.51,19.45
38.17,24.9,96.03
33.27,22.92,11.63
30.54,2.43,8.38
15.41,42.03,45.55
13.11,47.51,74.3
22.36,24.96,79.68
21.83,23.79,91.11
-2.46,49.27,90.56
-2.62,20.49,33.86
14.18,44.08,32.87
19.38,21.45,36.02
15.79,1.48,15.99
20.2,3.82,56.11
27.61,12.29,94.81
-4.01,45.78,22.8
18.76,15.15,2.25
28.31,20.8,40.58
13.45,28.66,34.61
-5.29,48.46,76.36
-3.74,10.05,87.73
-4.15,20.84,76.11
17.26,23.44,56.94
17.55,0.14,50.65
6.55,10.16,2.84
28.02,29.13,4.67
-2.63,6.74,99.24
38.52,44.71,91.79
6.65,10.01,84.48
38.69,19.66,53.87
27.17,34.12,97.35
37.6,40.93,17.96
-8.05,15.02,7.39
13.82,47.33,40.96
21.36,38.04,93.51
-0.31,17.26,17.59
35.54,8.8,63.55
3.21,18.01,21.3
-9.08,7.1,90.97
26.5,49.86,43.96
28.43,33.81,12.96
7.86,15.58,27.08
2.3,33.39,26.94
14.09,40.57,2.74
39.71,16.23,36.7
-6.24,38.84,62.38
12.78,36.51,20.16
37.86,13.15,59.81
6.04,2.34,56.81
17.06,18.05,19.32
36.57,25.76,4.74
-0.42,7.85,34.35
33.48,47.84,33.52
-6.34,9.39,47.0
20.72,40.73,23.99
14.76,40.49,65.18
15.87,16.38,70.64
20.55,15.1,35.55
35.52,37.33,34.57
-0.4,14.34,23.54
1.01,30.28,35.89
21.85,2.02,21.16
27.92,15.33,87.94
26.37,48.02,93.57
-9.39,41.64,70.33
1.74,29.81,48.66
9.87,3.68,48.47
-9.46,47.97,8.92
3.21,36.98,55.57
33.37,42.41,19.28
17.97,16.93,42.6
10.51,49.82,98.43
21.01,31.17,27.5
34.54,12.16,22.52
35.7,25.46,69.85
32.81,17.99,74.46
-4.73,37.46,29.88
9.22,35.44,70.69
-7.07,10.36,2.56
14.01,41.66,51.88
22.72,33.64,88.73
9.23,27.85,77.29
33.1,9.93,97.28
-9.96,24.95,27.22
9.67,35.13,40.9
0.28,25.37,59.34
21.65,22.84,83.27
23.2,17.62,42.59
8.31,49.69,86.09
-6.56,23.57,22.52
22.54,48.7,50.09
22.02,22.58,53.64
25.87,5.77,38.55
16.14,9.75,79.62
38.57,0.4,92.26
-6.05,46.38,31.92
-9.32,42.28,96.67
20.38,15.0,20.43
38.05,10.27,26.06
-4.25,6.1,87.15
20.78,45.63,85.8
10.26,31.03,49.4
30.49,4.57,18.51
4.54,49.27,70.18
8.48,25.96,29.13
2.61,0.06,90.34
-0.59,40.13,89.31
23.46,12.71,48.99
20.46,32.35,20.37
-0.57,49.8,0.46
35.5,47.22,1.21
18.11,48.26,42.45
29.36,1.66,93.98
36.26,17.37,57.45
19.17,30.18,61.2
-3.54,20.45,57.85
1.17,20.95,49.57
33.79,3.66,69.25
38.95,15.6,59.05
-5.75,0.85,59.96
18.01,35.4,58.82
27.38,21.36,64.39
34.24,14.43,61.31
37.05,29.12,35.65
21.39,46.87,48.43
6.22,41.94,3.45
39.03,14.02,84.51
22.36,20.83,38.47
13.38,9.94,67.91
-5.89,1.19,53.42
10.51,40.09,44.55
35.69,40.4,33.15
35.77,26.31,45.96
15.27,13.05,87.92
35.43,19.32,29.21
20.33,39.84,36.14
39.55,9.14,79.03
22.78,13.13,40.54
36.73,12.34,12.65
7.33,47.1,8.38
1.54,4.6,17.91
29.16,49.27,52.25
2.86,11.36,73.48
13.72,37.45,61.64
28.73,32.22,24.4
-7.16,13.37,74.83
6.26,32.39,93.7
33.42,19.81,86.76
36.07,25.66,24.23
1.12,47.13,67.6
11.5,31.99,39.13
9.0,9.09,26.6
15.56,23.86,20.67
28.68,4.94,87.44
31.87,0.05,61.6
32.88,45.5,62.99
37.29,36.76,15.64
-3.33,10.93,86.18
24.81,7.16,78.19
-0.51,22.9,73.15
1.41,25.97,3.2
25.97,40.01,27.98
18.13,48.49,74.69
-7.12,10.11,78.21
-0.31,20.83,33.82
37.41,39.97,87.05
-5.44,16.31,43.72
2.26,16.28,19.3
38.92,26.95,56.64
-0.33,36.96,26.66
-6.42,49.12,37.77
10.48,15.12,87.61
29.03,11.34,44.25
34.51,46.74,6.78
29.0,33.73,40.23
-5.79,6.72,99.55
-6.89,20.01,57.42
29.09,36.82,33.46
-3.88,32.72,66.66
7.48,38.11,75.43
32.05,21.9,25.09
30.81,42.17,90.69
28.71,0.98,58.92
18.85,35.02,60.42
2.6,31.08,83.07
15.24,13.2,53.31
-7.52,5.85,66.47
21.07,7.98,24.97
7.97,9.24,53.91
5.68,33.9,63.01
18.25,19.21,3.71
39.7,3.43,62.14
34.4,19.61,82.64
13.41,28.04,91.91
-5.43,34.84,1.44
-0.67,23.22,6.74
31.32,35.41,32.72
11.53,47.49,39.94
37.26,19.61,59.26
27.5,10.84,31.25
28.36,49.53,44.38
-0.76,4.89,12.96
35.69,20.72,36.33
19.18,34.2,49.64
14.8,45.63,83.55
13.06,0.63,31.0
21.05,20.85,18.85
38.38,3.93,59.77
13.95,15.46,9.36
11.48,13.6,21.36
37.65,22.48,0.77
5.15,9.89,56.03
31.67,27.81,33.17
-8.75,7.02,86.54
-5.02,32.18,13.32
11.92,35.21,71.13
4.22,0.34,52.26
10.18,4.01,23.52
-7.2,12.58,80.04
30.6,9.59,41.68
19.81,37.49,38.26
-0.26,12.15,79.86
8.4,26.05,14.4
28.55,26.93,43.33
-3.81,13.59,43.32
33.71,23.8,30.85
19.93,28.93,75.01
0.92,44.87,35.64
25.82,30.53,18.84
-7.0,16.71,32.03
22.57,49.7,84.43
28.07,40.11,19.8
23.09,49.89,24.51
36.37,46.91,76.83
22.34,25.87,13.39
10.87,28.74,93.71
11.95,26.22,78.31
15.67,27.93,49.91
2.9,28.9,23.1
21.13,17.99,18.68
-8.91,11.87,26.78
34.48,21.91,55.95
4.99,23.53,86.48
19.48,11.14,42.06
-9.68,4.18,36.26
26.93,36.23,9.32
13.56,42.1,7.32
16.0,23.26,35.08
22.27,21.0,76.67
-5.54,40.26,35.86
21.3,4.12,58.92
39.12,10.6,21.41
-5.44,18.56,44.04
5.07,19.51,55.54
39.01,5.68,80.37
33.83,34.11,67.91
5.77,30.23,45.31
32.02,30.22,73.48
28.02,48.22,88.59
9.71,21.28,62.15
39.22,23.15,59.54
34.79,11.27,52.2
-6.5,40.18,74.67
0.7,17.75,12.28
28.65,26.16,14.72
34.25,33.2,75.57
27.42,39.88,93.03
39.72,36.7,20.29
27.22,5.85,82.82
22.68,19.0,82.39
-5.39,42.28,42.91
11.44,15.08,58.07
-2.14,16.52,87.54
27.32,0.86,66.89
14.28,40.63,36.32
39.58,18.23,72.85
18.3,15.64,74.0
22.42,11.24,86.34
39.61,7.36,44.04
30.83,33.55,21.79
15.36,26.63,21.55
5.11,23.52,47.38
14.75,20.02,28.29
-7.86,49.48,34.16
8.09,8.7,48.78
24.51,40.24,93.27
12.96,25.06,54.46
-3.22,30.55,87.7
-0.65,5.43,95.35
22.02,31.01,84.14
39.99,43.95,27.71
8.66,28.46,94.95
7.49,36.99,58.78
23.29,9.46,26.84
-6.57,16.38,65.6
9.01,40.02,2.23
28.29,30.47,13.92
16.53,47.26,49.87
0.21,18.77,44.1
-6.33,24.72,51.2
34.52,10.79,62.58
14.46,27.75,92.39
20.53,46.74,24.59
31.22,43.88,99.17
20.38,20.79,91.64
2.68,45.79,15.38
32.96,31.71,68.41
31.02,33.38,45.95
39.01,7.93,97.41
19.13,16.21,63.41
9.66,19.62,84.81
25.66,21.33,52.64
4.21,26.64,51.4
-9.87,10.82,15.57
21.11,23.65,11.53
8.59,18.67,84.37
16.13,46.5,6.54
33.35,25.06,50.33
9.89,34.79,71.28
8.52,44.63,20.63
14.9,49.4,64.94
26.22,27.99,48.95
9.73,28.78,37.79
23.93,10.05,7.09
22.5,30.01,45.09
15.99,16.0,17.94
31.33,40.07,77.75
2.32,21.84,35.61
39.38,2.23,71.55
2.72,18.5,37.8
0.29,7.92,18.79
32.81,22.57,93.39
9.69,43.18,65.01
35.87,36.98,67.35
33.15,9.38,23.0
-1.16,15.69,51.81
-0.12,45.94,83.46
24.16,11.18,10.32
14.82,1.85,67.77
38.87,11.48,37.62
14.56,14.6,33.07
16.84,48.11,47.53
18.01,18.87,49.94
32.8,13.45,81.06
26.41,35.53,75.19
-5.17,48.43,78.05
28.3,36.68,50.08
23.29,9.1,75.09
31.52,42.07,30.07
6.35,4.95,71.2
10.57,19.49,33.34
3.2,41.46,6.52
20.44,38.8,95.78
-6.44,30.24,48.87
9.67,29.23,64.53
23.12,30.95,77.41
18.64,19.54,90.68
26.93,39.96,49.57
21.15,9.03,85.65
8.71,0.21,53.61
18.4,0.35,94.97
22.32,32.0,85.78
-3.82,31.01,20.1
39.31,29.24,84.92
17.31,12.32,25.85
9.81,22.83,64.91
19.51,10.3,69.99
27.3,13.26,95.21
29.63,47.31,18.43
17.71,23.38,94.92
31.71,17.81,26.84
16.88,0.9,61.77
4.62,40.06,57.44
12.5,12.59,71.34
25.07,43.29,57.21
21.11,0.27,96.05
7.02,36.67,99.48
-3.53,44.28,65.44
14.02,15.26,18.56
15.05,43.65,35.81
38.17,25.57,20.79
14.38,14.02,94.61
9.57,35.17,84.67
33.5,2.38,5.46
28.55,24.31,18.76
6.45,7.22,14.61
22.28,32.17,78.22
1.78,4.09,11.63
11.07,44.06,82.33
21.14,11.46,14.34
-2.86,30.94,75.04
-1.55,7.44,38.05
25.25,45.45,48.91
4.84,2.28,71.08
28.3,29.83,18.64
4.28,29.77,49.79
32.79,30.89,3.88
38.0,43.5,12.99
6.38,41.21,68.23
34.16,47.96,90.31
38.87,27.22,65.96
10.91,29.26,30.88
35.52,22.35,84.49
30.26,49.62,70.77
14.36,36.96,12.05
23.26,15.74,90.43
24.46,23.35,28.29
27.48,43.88,45.32
31.01,31.41,57.67
29.42,14.44,81.99
-9.1,35.33,91.89
26.84,20.07,73.05
11.2,49.55,44.74
2.37,49.08,68.45
8.05,45.46,59.79
23.55,13.04,17.89
17.44,23.07,94.47
39.16,44.18,29.09
24.1,24.43,75.03
26.43,13.38,48.61
13.73,17.52,64.71
-9.72,19.56,63.11
33.36,24.48,64.17
17.28,36.86,82.21
18.25,15.87,86.72
-6.84,5.64,10.56
17.37,0.36,72.42
-5.34,26.23,60.3
25.03,10.13,54.66
27.77,22.61,33.24
19.11,47.76,41.25
0.98,30.21,32.92
23.06,38.22,47.59
12.7,41.84,69.54
7.82,31.04,29.72
-4.31,27.19,87.23
8.47,36.44,3.77
-2.95,3.4,66.49
-1.41,9.79,25.9
-3.44,15.35,53.77
34.5,6.78,61.99
1.87,39.49,10.88
38.14,30.69,83.92
17.21,37.01,96.97
27.86,4.74,6.13
0.56,22.9,7.38
26.48,48.78,53.5
31.35,16.68,36.17
5.74,45.45,22.83
-5.58,14.96,94.76
0.16,49.78,85.37
39.84,13.3,17.67
33.77,44.02,70.91
30.01,27.02,3.13
-6.37,1.76,65.91
-6.24,10.06,62.15
-5.5,28.63,8.54
36.43,36.5,59.31
29.17,4.62,25.67
30.51,31.01,66.32
12.32,22.7,5.54
36.41,36.62,47.42
0.62,25.04,70.58
10.25,22.12,93.18
7.61,41.72,59.75
5.5,26.06,66.54
9.27,42.12,21.91
2.27,6.53,10.58
39.97,5.0,59.4
-5.85,10.74,74.49
-1.09,33.09,83.86
-6.78,8.08,1.67
34.55,31.84,90.04
32.68,7.46,82.64
30.48,2.51,83.69
-0.29,35.35,35.01
8.58,3.11,77.28
37.56,7.71,93.65
6.19,26.86,53.15
31.28,48.49,21.94
12.29,42.32,20.63
19.09,35.26,56.82
35.62,22.9,94.88
2.87,5.77,34.97
36.37,10.9,79.98
-2.08,47.27,98.53
22.88,43.0,0.73
4.91,10.57,84.84
37.78,23.62,86.21
-0.33,29.12,23.28
-5.18,16.6,21.22
16.51,31.83,92.87
19.77,2.53,68.52
27.83,11.6,74.78
17.27,47.6,84.9
31.98,26.27,36.88
10.12,27.15,35.42
2.73,37.38,5.0
14.2,42.23,92.54
34.8,32.04,80.59
37.06,13.41,14.72
17.14,1.37,30.63
-3.22,16.87,60.09
26.8,37.92,2.43
33.72,14.27,45.54
0.17,18.72,2.57
31.28,2.45,37.19
20.83,9.97,87.33
10.02,24.54,74.07
24.03,7.51,38.54
34.54,8.04,6.42
16.43,12.22,75.74
34.28,45.53,27.08
21.41,2.76,80.35
3.78,46.49,87.02
-0.53,28.87,12.79
0.16,5.88,64.3
14.21,24.49,67.62
-9.22,5.31,95.92
39.9,11.3,54.99
7.51,11.54,34.48
34.18,35.2,6.79
14.28,42.69,5.44
16.25,14.5,92.98
31.71,6.57,5.94
23.57,1.39,86.49
-6.21,47.13,33.0
0.99,22.48,80.01
15.11,31.66,24.44
-8.48,27.9,37.95
-9.1,14.68,8.86
6.54,25.45,98.26
18.56,12.33,59.0
34.69,6.26,98.24
36.41,39.78,73.57
29.51,23.91,61.59
30.31,21.01,83.76
35.3,41.75,3.79
6.25,44.56,0.43
31.44,10.58,6.32
28.4,20.47,15.61
14.69,8.57,38.0
36.44,35.91,7.27
17.51,12.15,57.5
17.71,5.58,50.98
11.29,18.17,34.37
0.49,44.31,17.85
38.23,39.93,90.76
-3.45,18.44,95.55
25.81,17.67,54.12
-7.09,30.06,31.59
18.91,47.89,19.27
8.2,26.34,12.52
8.88,4.54,93.0
36.05,38.87,78.5
21.21,9.52,76.87
10.09,18.62,87.68
39.15,12.13,43.39
28.75,24.29,62.14
-2.66,38.54,96.46
16.73,3.13,43.37
14.65,27.71,47.82
13.81,38.62,7.47
14.74,31.01,78.94
-3.03,0.41,5.91
12.57,3.56,91.27
-6.45,28.92,66.13
-2.39,13.16,5.58
2.51,43.65,65.22
34.76,44.43,80.16
-7.96,6.56,65.65
32.5,44.43,21.28
15.3,24.96,67.74
24.82,36.22,48.21
-4.72,10.28,30.82
34.15,39.21,32.27
10.44,17.36,67.57
20.57,25.47,11.77
4.64,27.61,7.24
26.62,47.0,17.62
-4.18,11.8,30.27
2.5,17.43,7.33
29.43,7.11,83.95
4.61,30.21,90.23
39.48,8.43,80.85
7.62,16.89,73.94
25.9,30.25,82.42
29.67,2.68,72.31
21.8,24.43,60.44
24.23,49.03,47.86
-6.62,40.08,79.4
-2.25,46.23,53.66
-2.9,27.26,28.79
26.45,13.62,23.16
28.11,37.93,31.54
25.84,14.06,78.45
23.4,24.93,2.39
8.08,26.38,35.87
4.21,24.65,27.24
19.48,19.71,68.82
16.66,23.93,65.2
17.72,11.25,39.12
0.35,31.77,44.89
7.18,12.72,20.27
3.66,12.26,72.66
38.99,35.74,55.24
-4.89,48.14,34.58
27.19,37.55,30.56
-6.88,35.86,33.26
38.05,22.78,12.83
10.89,32.57,77.6
1.05,12.18,79.24
7.32,41.51,93.12
4.74,21.39,27.37
-8.13,27.96,50.8
6.71,28.63,66.95
7.97,35.01,3.88
1.48,23.08,79.4
-6.35,44.52,58.1
39.45,26.97,61.02
27.06,43.36,39.78
6.19,36.95,19.03
17.73,22.71,47.75
22.78,14.63,82.83
18.28,2.83,72.83
-0.67,27.57,44.26
34.15,13.98,30.29
28.05,42.45,27.71
2.34,46.81,8.47
-8.33,28.56,27.28
27.93,22.92,16.85
33.02,44.66,29.64
39.43,37.43,55.47
34.3,32.88,14.02
39.17,2.43,73.59
-7.5,14.22,56.58
31.98,31.73,97.24
1.51,11.57,59.97
34.61,23.06,56.15
20.6,45.59,33.05
-6.05,35.25,70.14
18.92,41.29,42.95
9.04,5.5,74.87
1.48,46.59,45.28
23.5,48.52,48.69
26.58,24.79,74.99
-1.61,12.7,88.75
7.59,44.13,40.78
4.96,24.62,70.1
-8.13,2.93,37.29
32.89,5.82,83.03
-8.48,7.25,45.93
6.14,10.33,93.04
22.37,49.11,61.24
6.45,39.6,58.8
38.28,1.65,80.48
22.95,30.85,64.37
36.93,35.18,89.17
31.25,14.79,78.96
18.95,34.77,67.59
19.01,10.49,40.05
17.0,3.75,42.39
-0.21,44.46,66.93
3.49,0.25,81.27
39.06,9.15,9.51
20.96,34.83,28.35
29.39,45.21,1.67
32.89,17.8,66.2
-8.31,10.09,63.47
-1.53,38.14,99.43
25.08,44.41,24.52
14.31,44.16,25.23
26.54,47.52,88.72
-0.97,14.72,19.76
9.89,15.76,81.79
13.43,37.87,68.82
31.57,25.0,16.28
-3.63,33.87,77.14
20.19,34.22,35.26
2.42,24.28,86.32
9.46,41.26,18.65
6.31,12.76,40.13
4.36,9.88,37.48
38.5,5.76,38.92
33.15,4.15,10.75
10.92,26.42,4.28
-3.09,30.05,42.72
-8.54,26.07,16.82
15.91,39.13,26.82
4.84,9.42,13.49
18.93,24.54,57.36
28.79,0.92,89.39
32.62,15.29,59.89
4.68,33.56,20.53
25.14,24.32,53.83
-7.29,36.66,49.77
13.46,24.08,75.47
11.03,37.93,18.73
22.23,22.28,23.83
24.31,24.1,77.51
39.75,26.59,35.8
12.39,11.14,97.01
-0.78,17.95,32.66
27.88,43.47,16.89
33.17,39.27,87.69
27.58,3.36,79.92
2.51,41.83,82.36
-3.6,6.37,2.87
15.7,44.5,21.1
-2.87,43.35,40.93
22.94,43.27,11.51
3.34,45.9,32.9
25.2,27.45,91.91
-7.99,7.44,21.11
38.62,15.7,57.51
16.73,13.49,55.69
-8.4,24.91,73.76
14.73,28.56,72.65
-7.88,41.01,34.59
24.06,2.36,87.95
28.88,20.32,62.25
0.32,47.47,78.9
28.01,26.69,74.07
34.11,37.18,13.33
13.46,41.56,41.37
3.05,5.19,56.46
1.94,21.23,69.62
11.22,23.04,46.07
0.2,16.16,77.07
10.17,49.08,78.93
34.93,9.72,33.83
-1.98,25.74,22.39
3.95,9.53,31.16
39.07,19.15,95.31
22.78,32.54,39.67
29.58,7.69,33.46
39.72,17.63,60.28
3.17,39.7,1.8
10.97,36.18,47.76
1.59,43.39,76.38
13.11,15.85,84.48
30.59,34.31,2.94
6.92,27.55,90.44
-3.98,33.62,80.77
38.16,30.04,66.71
38.35,33.63,35.9
34.1,24.83,87.9
27.46,7.36,39.67
16.16,19.97,16.18
8.5,29.92,20.8
14.56,13.88,78.67
32.63,32.95,26.26
-2.58,2.96,39.09
37.89,25.24,36.6
36.71,29.87,89.26
17.41,29.44,3.67
13.97,44.97,35.28
29.68,7.7,33.73
36.78,46.45,99.19
10.18,9.85,55.04
14.3,16.59,24.33
19.38,49.21,62.07
9.78,49.78,61.64
9.02,29.81,30.13
22.55,14.59,14.6
12.78,27.32,26.05
32.92,43.22,64.27
-0.94,19.34,96.59
-1.01,23.07,97.1
31.22,18.55,1.65
35.96,9.74,15.35
-0.93,37.36,87.7
39.08,15.71,75.92
1.78,21.69,56.46
30.17,7.35,26.76
21.46,36.1,29.72
-1.2,8.37,16.07
7.14,19.08,98.41
10.87,41.68,40.67
33.39,12.78,42.16
3.67,27.17,72.78
3.97,23.29,61.59
5.77,38.66,12.65
27.57,34.06,73.87
27.94,34.95,1.83
27.44,0.07,53.68
35.71,3.1,62.62
-3.48,40.72,33.19
36.19,11.7,52.3
32.9,49.82,59.51
2.95,17.34,75.73
29.07,43.44,99.01
5.4,39.15,48.4
22.86,40.44,45.5
-6.18,14.48,81.55
9.66,29.79,92.75
34.24,24.31,40.81
25.47,16.76,27.81
16.26,36.88,94.63
-3.24,22.43,3.65
-4.68,9.16,26.5
9.36,46.25,75.62
4.46,39.75,17.92
19.74,9.74,49.01
38.65,14.13,0.99
34.79,13.28,29.69
14.03,31.44,44.09
31.4,9.85,30.08
9.13,8.73,29.6
-9.18,37.18,82.34
20.22,20.59,23.21
0.64,26.06,4.57
9.12,30.02,2.51
-8.14,25.55,83.16
-3.05,39.61,37.78
16.62,6.22,53.62
18.85,14.65,12.78
16.5,29.34,40.21
17.12,8.94,23.12
16.86,0.68,59.11
-4.28,21.93,26.82
18.98,38.99,87.28
6.5,35.3,93.63
1.68,1.73,2.76
39.04,10.78,51.88
34.55,27.5,20.74
0.71,3.54,26.48
-6.43,17.68,39.48
-1.08,47.87,27.54
-1.19,48.07,2.58
25.68,10.16,22.88
18.31,23.29,98.82
0.15,21.23,41.48
-3.05,42.38,2.5
32.62,9.63,50.9
26.51,19.55,94.02
23.97,38.64,92.12
-1.96,23.61,96.29
28.4,21.08,59.55
-3.04,13.35,36.13
2.73,37.43,53.42
-1.58,43.09,5.15
3.23,26.83,1.45
2.3,13.67,65.89
22.4,15.39,53.05
9.96,8.99,79.58
-8.5,27.81,16.01
30.4,14.35,21.58
-3.47,17.28,3.66
-5.4,28.11,8.51
-5.69,0.69,18.74
4.39,8.89,4.04
24.16,40.9,37.58
34.69,44.16,11.1
-1.52,43.73,24.52
11.4,35.24,23.73
29.87,25.47,6.56
0.78,1.79,7.06
34.75,28.77,4.95
12.95,34.86,92.49
-5.03,31.91,93.48
16.25,17.97,64.44
38.94,34.2,19.52
2.95,6.44,75.76
38.74,37.74,0.69
21.51,17.9,82.26
26.79,9.75,87.41
15.11,48.78,44.69
24.26,34.25,42.29
12.97,48.84,14.7
31.02,17.31,29.68
14.83,31.85,82.41
10.61,26.66,67.78
20.02,5.65,10.11
26.04,9.79,56.38
37.0,33.28,14.11
39.28,1.85,95.52
25.35,37.67,78.5
5.95,11.28,15.33
14.76,41.73,15.98
-0.12,6.98,97.98
0.45,17.48,23.28
39.44,28.86,47.21
-5.9,16.72,42.4
24.39,42.89,26.68
10.16,29.11,98.38
2.56,39.45,93.85
12.54,36.27,58.63
-0.92,37.46,89.01
9.62,5.59,83.47
19.14,26.74,55.17
3.4,49.87,38.03
-1.79,18.89,32.07
3.99,3.04,60.28
-0.54,41.12,73.69
23.79,35.52,54.84
22.72,7.13,13.93
24.75,6.37,8.0
22.91,23.32,64.21
36.26,28.73,77.27
32.26,44.11,52.53
-6.34,31.0,96.95
27.9,12.77,96.55
34.3,47.46,52.85
6.34,8.7,48.89
7.36,46.23,27.54
14.98,12.8,86.27
8.3,2.0,24.45
2.06,34.94,58.89
7.02,5.89,8.59
-0.09,26.55,94.33
32.26,19.81,46.63
2.43,18.03,46.39
9.43,40.13,73.59
27.61,42.94,1.39
17.75,8.77,65.5
-7.74,2.26,74.14
-9.96,20.63,35.57
-0.19,23.72,32.33
-0.41,31.53,68.67
4.03,13.31,93.51
9.4,34.88,30.29
21.31,35.84,1.43
15.1,32.47,29.87
-4.98,47.84,78.16
33.88,16.52,13.88
39.73,8.64,26.09
9.36,7.66,26.7
-1.42,10.15,37.7
1.89,19.45,64.47
12.33,12.68,94.9
